No.,Age,Expedition,Location,Name,Year,Nationality,Cause.of.death,Year_descr,Num_Deaths_In_Yr
NA,NA,NA,NA,Yasuhira Saito ,1987,Japan ,Fall ,Before 2000,7
NA,NA,NA,NA,Gabriel Denamur ,1991,Belgium ,Unknown ,Before 2000,9
NA,NA,NA,NA,Philippe Dumas ,1984,France ,Avalanche ,Before 2000,12
NA,NA,NA,NA,Patrick Taglianut ,1984,France ,Avalanche ,Before 2000,12
NA,NA,NA,NA,Udhav Prasad Khanal ,2007,Nepal ,Unknown ,2000-2020,8
NA,NA,NA,NA,Lhakpa Rita II ,2006,Nepal ,Avalanche ,2000-2020,12
NA,NA,NA,NA,Ngati ,1997,Nepal ,Fall ,Before 2000,12
NA,NA,NA,NA,Iñaki Ochoa de Olza ,2008,Spain ,HACE ,2000-2020,2
NA,NA,NA,NA,Benoit Grison ,1986,France ,Fall ,Before 2000,5
NA,NA,NA,NA,Samuli Mansikka ,2015,Finland ,Fall ,2000-2020,19
NA,NA,NA,NA,Pemba Sherpa ,2015,Nepal ,Fall ,2000-2020,19
NA,NA,NA,NA,Andres Ferrer ,1987,Spain ,Fall ,Before 2000,7
NA,NA,NA,NA,Yang-kun Chung ,1983,South Korea ,Avalanche ,Before 2000,6
NA,NA,NA,NA,Magar Maila ,1983,Nepal ,Avalanche ,Before 2000,6
NA,NA,NA,NA,Rama Magar Tika ,1983,Nepal ,Avalanche ,Before 2000,6
NA,NA,NA,NA,Anatoli Boukreev ,1997,Kazakhstan ,Avalanche ,Before 2000,12
NA,NA,NA,NA,Dmitri Sobolev ,1997,Kazakhstan ,Avalanche ,Before 2000,12
NA,NA,NA,NA,Ang Tshering ,1998,Nepal ,Avalanche ,Before 2000,6
NA,NA,NA,NA,Leo Cerruti ,1973,Italy ,Avalanche ,Before 2000,8
NA,NA,NA,NA,Miller Rava ,1973,Italy ,Avalanche ,Before 2000,8
NA,NA,NA,NA,Ang Nima ,1981,Nepal ,Avalanche ,Before 2000,6
NA,NA,NA,NA,Pemba Tshering ,1981,Nepal ,Avalanche ,Before 2000,6
NA,NA,NA,NA,Milan Metkov ,1989,Bulgaria ,Unknown ,Before 2000,10
NA,NA,NA,NA,Ognian Stoykov ,1989,Bulgaria ,Unknown ,Before 2000,10
NA,NA,NA,NA,Andre Durieux ,1981,France ,Avalanche ,Before 2000,6
NA,NA,NA,NA,Yves Favre ,1981,France ,Avalanche ,Before 2000,6
NA,NA,NA,NA,Hyun-ok Ji ,1999,South Korea ,Unknown ,Before 2000,6
NA,NA,NA,NA,Dorje Kami ,1999,Nepal ,Unknown ,Before 2000,6
NA,NA,NA,NA,Tolo Calafat ,2010,Spain ,Unknown ,2000-2020,4
NA,NA,NA,NA,Akihiro Mori ,1988,Japan ,Avalanche ,Before 2000,14
NA,NA,NA,NA,Ang Dawa ,1988,Japan ,Avalanche ,Before 2000,14
NA,NA,NA,NA,Wui Kin Chin ,2019,Malaysia ,Hypothermia/Frostbite ,2000-2020,13
NA,NA,NA,NA,Ian Clough ,1970,United Kingdom ,Serac fall ,Before 2000,8
NA,NA,NA,NA,Yasuji Kato ,1981,Japan ,Fall ,Before 2000,6
NA,NA,NA,NA,Werner Bürkli ,1982,Switzerland ,Heart attack ,Before 2000,16
NA,NA,NA,NA,Tibor Horváth ,2012,Hungary ,Avalanche ,2000-2020,13
NA,NA,NA,NA,Pasang Norbu ,1984,Nepal ,Unknown ,Before 2000,12
NA,NA,NA,NA,Keepa ,1984,Nepal ,Unknown ,Before 2000,12
NA,NA,NA,NA,Ivan Lobanov ,2012,Uzbekistan ,Avalanche ,2000-2020,13
NA,NA,NA,NA,Iljas Tukhvatullin ,2012,Uzbekistan ,Avalanche ,2000-2020,13
39,NA,British-Nepal Army Everest Expedition,Camp II, Terry Thompson,1976, United Kingdom, Fall into a crevasse,Before 2000,1
14,NA,Chinese Expedition Northern Slope,, Wang Ji,1960, China, Mountain sickness,Before 2000,2
27,31,International Expedition of 1971,6900m, Harsh Vardhan,1971, India, Succumbed after falling and being suspended above a crevasse during a blizzard,Before 2000,1
40,NA,,Icefall, Dawa Nuru,1978, Nepal, Fall into a crevasse,Before 2000,4
41,NA,Chinese Iranian Expedition,Icefall, Shi Ming-ji,1978, China, Fall into a crevasse,Before 2000,4
246,46,NBC Everest Expedition,Icefall, Mingma Nuru Sherpa,2014, Nepal, 2014 Mount Everest Avalanche,2000-2020,16
247,NA,NBC Everest Expedition,Icefall, Dorji Sherpa,2014, Nepal, 2014 Mount Everest Avalanche,2000-2020,16
248,NA,AAI Everest Expedition 2014,Icefall, Ang Tshiri Sherpa,2014, Nepal, 2014 Mount Everest Avalanche,2000-2020,16
249,NA,AAI Everest Expedition 2014,Icefall, Nima Sherpa,2014, Nepal, 2014 Mount Everest Avalanche,2000-2020,16
250,NA,AAI Everest Expedition 2014,Icefall, Tenzing Chottar Sherpa,2014, Nepal, 2014 Mount Everest Avalanche,2000-2020,16
251,NA,Adventure Consultants,Icefall, Phurba Ongyal Sherpa,2014, Nepal, 2014 Mount Everest Avalanche,2000-2020,16
252,NA,Adventure Consultants,Icefall, Lapka Tenjing Sherpa,2014, Nepal, 2014 Mount Everest Avalanche,2000-2020,16
253,NA,Adventure Consultants,Icefall, Chhiring Ongchu Sherpa,2014, Nepal, 2014 Mount Everest Avalanche,2000-2020,16
254,NA,Adventurist Everest Expedition 2014,Icefall, Dorjee Khatri,2014, Nepal, 2014 Mount Everest Avalanche,2000-2020,16
255,NA,Adventurist Everest Expedition 2014,Icefall, Then Dorjee Sherpa,2014, Nepal, 2014 Mount Everest Avalanche,2000-2020,16
256,NA,Adventurist Everest Expedition 2014,Icefall, Phur Temba Sherpa,2014, Nepal, 2014 Mount Everest Avalanche,2000-2020,16
257,NA,Jagged Globe Everest Expedition 2014,Icefall, Pasang Karma Sherpa,2014, Nepal, 2014 Mount Everest Avalanche,2000-2020,16
258,NA,Everest Chinese Dream Expedition 2014,Icefall, Ankaji Sherpa,2014, Nepal, 2014 Mount Everest Avalanche,2000-2020,16
259,NA,Everest Chinese Dream Expedition 2014,Icefall, PemTenji Sherpa,2014, Nepal, 2014 Mount Everest Avalanche,2000-2020,16
260,NA,Everest Chinese Dream Expedition 2014,Icefall, Aash Bahadur Gurung,2014, Nepal, 2014 Mount Everest Avalanche,2000-2020,16
227,NA,Prestige Adventures,Base Camp, Karsang Namgyal Sherpa,2012, Nepal, Altitude sickness,2000-2020,13
245,NA,Peak Freaks Expedition,Everest Base Camp, Mingma Tenzing Sherpa,2014, Nepal, HAPE,2000-2020,16
228,33,Pune team,Base Camp, Ramesh Gulve,2012, India, Stroke,2000-2020,13
295,35,Solo,Base Camp, Chris Daly,2019, United States, Died after a fall while trekking down from base camp,2000-2020,13
NA,NA,NA,NA,Martin Minařík ,2009,Czech Republic ,Fell into Crevasse ,2000-2020,5
26,NA,Japanese Skiing Expedition,6150m, Kiyoshi Narita,1970, Japan, Heart attack,Before 2000,8
68,40,Bulgarian West Face Expedition,8500m West Ridge, Hristo Ivanov Prodanov,1984, Bulgaria, Disappearance (likely accidental death during descent),Before 2000,12
89,NA,"35th Anniversary climb with Chinese, Japanese and Nepalese nationals",Base camp, Hidetaka Mizukoshi,1988, Japan, Heart attack (at Base camp),Before 2000,14
195,50,American,5900m Icefall, Ang Phinjo Sherpa,2006, Nepal, Avalanche,2000-2020,12
196,NA,American,5900m Icefall, Lhakpa Tseri,2006, Nepal, Avalanche,2000-2020,12
197,NA,American,5900m Icefall, Dawa Temba,2006, Nepal, Avalanche,2000-2020,12
229,28,,Camp I, Namgyal Tshering Sherpa,2012, Nepal, Fall into a crevasse,2000-2020,13
119,32,Nepalese Expedition,8750m S.E. Ridge, Pasang Lhamu Sherpa,1993, Nepal, Disappearance (likely accidental death during climb),Before 2000,8
120,NA,Nepalese Expedition,8750m S.E. Ridge, Sonam Tshering,1993, Nepal, ,Before 2000,8
149,NA,British,Base Camp, Malcolm Duff,1997, United Kingdom, Heart attack (at Base camp),Before 2000,12
261,33,2015 Jagged Globe Everest Expedition,Base Camp, Daniel Paul Fredinburg,2015, United States, Base Camp avalanche following the April 2015 Nepal earthquake,2000-2020,19
262,28,H.G. Nuptse Expedition 2015,Base Camp, Marisa Eve Girawong,2015, United States, Base Camp avalanche following the April 2015 Nepal earthquake,2000-2020,19
263,61,TET Films & Photography,Base Camp, Thomas Ely Taplin,2015, United States, Base Camp avalanche following the April 2015 Nepal earthquake,2000-2020,19
264,19,Adventure Consultants,Base Camp, Pemba Sherpa,2015, Nepal, Base Camp avalanche following the April 2015 Nepal earthquake,2000-2020,19
265,33,Adventure Consultants,Base Camp, Dawa Tsering Sherpa,2015, Nepal, Base Camp avalanche following the April 2015 Nepal earthquake,2000-2020,19
266,41,Adventure Consultants,Base Camp, Maila (Milan) Rai,2015, Nepal, Base Camp avalanche following the April 2015 Nepal earthquake,2000-2020,19
267,27,Adventure Consultants,Base Camp, Chhimi Dawa Sherpa,2015, Nepal, Base Camp avalanche following the April 2015 Nepal earthquake,2000-2020,19
268,NA,Adventure Consultants,Base Camp, Pema Yishi (Hissi) Sherpa,2015, Nepal, Base Camp avalanche following the April 2015 Nepal earthquake,2000-2020,19
269,NA,Tim Mosedale Everest Expedition (or H.G. Everest Expedition 2015),Base Camp, Pasang Temba Sherpa,2015, Nepal, Base Camp avalanche following the April 2015 Nepal earthquake,2000-2020,19
270,NA,Tim Mosedale Everest Expedition (or H.G. Everest Expedition 2015),Base Camp, Krishna Kumar Rai,2015, Nepal, Base Camp avalanche following the April 2015 Nepal earthquake,2000-2020,19
271,NA,Tim Mosedale Everest Expedition (or H.G. Everest Expedition 2015),Base Camp, Tenzing (Tengien) Bhote,2015, Nepal, Base Camp avalanche following the April 2015 Nepal earthquake,2000-2020,19
272,49,First Chinese Women Everest Expedition,Base Camp, Renu Fotedar,2015, Australia, Base Camp avalanche following the April 2015 Nepal earthquake,2000-2020,19
273,33,First Chinese Women Everest Expedition,Base Camp, Lhakpa Chhiring Sherpa,2015, Nepal, Base Camp avalanche following the April 2015 Nepal earthquake,2000-2020,19
274,48,Trekker,Base Camp, Vinh B Truong,2015, United States, Base Camp avalanche following the April 2015 Nepal earthquake,2000-2020,19
275,25,Step Up Campaign Everest,Base Camp, Shiva Kumar Shrestha,2015, Nepal, Base Camp avalanche following the April 2015 Nepal earthquake,2000-2020,19
276,NA,,Base Camp, Unknown climber,2015, , Base Camp avalanche following the April 2015 Nepal earthquake,2000-2020,19
205,NA,,7200m South Col, Dawa Sherpa,2007, Nepal, ,2000-2020,8
217,54,,North Col, László Várkonyi,2010, Hungary, Avalanche crevasse fall,2000-2020,4
16,NA,Chinese Expedition Northern Slope,Lhotse face, Nawang Tshering,1962, Nepal, ,Before 2000,1
188,63,Tim Redpath Expedition,4600m S.E. Ridge, Sean Egan,2005, Canada, Heart attack,2000-2020,7
15,NA,Chinese Expedition Northern Slope,N.E. Ridge, Shao Shi-Ching,1960, China, ,Before 2000,2
169,35,Nepalese,N.E. Ridge, Babu Chiri Sherpa,2001, Nepal, Fall,2000-2020,5
67,27,Micheal Lane British North Face Expedition,6238m, Tony Swierzy,1984, United Kingdom, Avalanche,Before 2000,12
174,38,British International,Below Camp III, Peter Legate,2002, United Kingdom, Fall into a crevasse,2000-2020,3
20,NA,Japanese Skiing Expedition,Icefall, Nima Dorje,1970, Nepal, Avalanche,Before 2000,8
21,NA,Japanese Skiing Expedition,, Kunga Norbu,1970, Nepal, Avalanche,Before 2000,8
22,NA,Japanese Skiing Expedition,Icefall, Mima Norbu,1970, Nepal, Avalanche,Before 2000,8
23,NA,Japanese Skiing Expedition,Icefall, Pasang,1970, Nepal, Avalanche,Before 2000,8
24,NA,Japanese Skiing Expedition,Icefall, Kami Tshering,1970, Nepal, Avalanche,Before 2000,8
226,NA,Himex,Icefall, Dawa Tenzing,2012, Nepal, Stroke (CVA),2000-2020,13
